average,STDEV.P,proportion
1.11E-05,2.48E-08,0.22453448
1.07E-05,1.99E-08,0.185420076
1.05E-05,1.17E-08,0.111128754
1.03E-05,1.36E-08,0.13210323
1.01E-05,1.33E-08,0.131762725
9.98E-06,1.33E-08,0.133472681
9.85E-06,1.20E-08,0.122128236
9.72E-06,1.24E-08,0.127739767
9.59E-06,8.19E-09,0.085386229
9.49E-06,9.11E-09,0.096062457
9.37E-06,1.15E-08,0.12240204
9.27E-06,1.12E-08,0.120621546
9.18E-06,1.17E-08,0.128027615
9.08E-06,5.81E-09,0.064056428
9.00E-06,8.08E-09,0.089792023
8.91E-06,9.24E-09,0.103626147
8.82E-06,7.33E-09,0.083070084
8.75E-06,4.22E-09,0.048160668
8.67E-06,6.65E-09,0.076740755
8.60E-06,6.86E-09,0.079784089
8.52E-06,7.18E-09,0.084257283
8.45E-06,6.67E-09,0.078948807
8.38E-06,6.35E-09,0.075835115
8.31E-06,7.10E-09,0.085404065
8.24E-06,5.70E-09,0.069218378
8.19E-06,6.04E-09,0.073829492
8.13E-06,6.19E-09,0.076162959
8.07E-06,3.38E-09,0.041911892
7.96E-06,4.77E-09,0.059938086
7.89E-06,5.94E-09,0.075262719
7.83E-06,5.03E-09,0.064246637
7.78E-06,6.06E-09,0.077916151
7.72E-06,6.00E-09,0.077687295
7.67E-06,4.07E-09,0.053032981
7.62E-06,6.26E-09,0.082240734
7.56E-06,3.23E-09,0.042773126
7.51E-06,5.63E-09,0.075010655
7.46E-06,3.87E-09,0.051879465
7.41E-06,4.71E-09,0.063491656
7.36E-06,6.76E-09,0.091817606
7.32E-06,5.57E-09,0.076145912
7.27E-06,4.41E-09,0.060671681
7.22E-06,4.63E-09,0.064119818
7.17E-06,4.90E-09,0.068331658
7.13E-06,3.33E-09,0.046735804
7.09E-06,4.55E-09,0.064178814
7.01E-06,6.00E-09,0.085495129
6.97E-06,3.60E-09,0.051661656
6.92E-06,5.46E-09,0.078843654
6.88E-06,4.16E-09,0.060510891
6.84E-06,4.74E-09,0.069335991
6.80E-06,3.72E-09,0.054695857
6.76E-06,4.94E-09,0.073090911
6.72E-06,5.39E-09,0.080244993
6.68E-06,4.26E-09,0.06376906
6.64E-06,4.48E-09,0.067442569
6.61E-06,4.79E-09,0.072543689
6.57E-06,3.94E-09,0.059999748
6.52E-06,3.98E-09,0.060954855
6.49E-06,3.34E-09,0.051501468
6.45E-06,3.91E-09,0.06060685
6.42E-06,4.56E-09,0.070968608
6.39E-06,4.28E-09,0.067033246
6.35E-06,2.31E-09,0.036305314
6.30E-06,4.30E-09,0.068322418
6.26E-06,2.81E-09,0.04497271
6.23E-06,4.22E-09,0.067707151
6.19E-06,1.30E-09,0.021060413
6.16E-06,5.30E-09,0.086015839
6.13E-06,3.03E-09,0.049458578
6.09E-06,3.39E-09,0.055672861
6.06E-06,3.34E-09,0.05514355
6.03E-06,2.27E-09,0.03762837
6.00E-06,4.15E-09,0.069087601
5.98E-06,2.23E-09,0.037342512
5.94E-06,3.63E-09,0.061011123
5.91E-06,3.79E-09,0.064246571
5.88E-06,3.04E-09,0.051681317
5.85E-06,4.32E-09,0.073880516
5.82E-06,2.65E-09,0.045554497
5.79E-06,3.57E-09,0.061702175
5.76E-06,3.06E-09,0.053243705
5.71E-06,2.82E-09,0.049375214
5.68E-06,3.84E-09,0.06762015
5.65E-06,3.06E-09,0.054133663
5.63E-06,2.57E-09,0.045729313
5.60E-06,3.90E-09,0.069688573
5.57E-06,3.41E-09,0.06126532
5.54E-06,3.99E-09,0.07206638
5.52E-06,1.80E-09,0.032606068
5.49E-06,3.21E-09,0.05848446
5.47E-06,2.93E-09,0.053586369
5.45E-06,4.55E-09,0.083641933
5.42E-06,2.56E-09,0.047209355
5.39E-06,2.60E-09,0.048249747
5.37E-06,3.72E-09,0.069358503
5.34E-06,3.30E-09,0.061825399
5.31E-06,3.00E-09,0.056396936
5.29E-06,3.92E-09,0.074170818
5.26E-06,2.47E-09,0.046857331
5.22E-06,2.39E-09,0.045751164
5.20E-06,3.35E-09,0.064547718
5.17E-06,3.05E-09,0.058968251
5.14E-06,2.89E-09,0.05626177
5.12E-06,2.31E-09,0.045147548
5.10E-06,3.52E-09,0.06914168
5.07E-06,2.75E-09,0.054131047
5.05E-06,3.16E-09,0.062537696
5.03E-06,2.67E-09,0.053036276
5.01E-06,3.03E-09,0.06056429
4.99E-06,2.80E-09,0.056097257
4.96E-06,3.11E-09,0.0626024
4.94E-06,1.46E-09,0.029554232
4.92E-06,2.00E-09,0.040639457
4.90E-06,3.18E-09,0.06487155
4.88E-06,2.75E-09,0.056322876
4.86E-06,1.28E-09,0.026359125
4.84E-06,1.66E-09,0.034343662
4.80E-06,4.02E-09,0.08360002
4.78E-06,4.22E-09,0.088269973
4.76E-06,2.50E-09,0.052597441
4.74E-06,2.39E-09,0.050329859
4.72E-06,3.12E-09,0.066159882
4.70E-06,2.96E-09,0.062972394
4.68E-06,2.24E-09,0.047941661
4.66E-06,2.51E-09,0.053884415
4.63E-06,2.81E-09,0.060719849
4.61E-06,2.14E-09,0.046379898
4.59E-06,2.25E-09,0.04897637
4.57E-06,2.33E-09,0.051036138
4.56E-06,2.04E-09,0.044816586
4.54E-06,1.71E-09,0.03763009
4.51E-06,1.31E-09,0.02908451
4.50E-06,1.40E-09,0.031216209
4.48E-06,2.86E-09,0.063915557
4.46E-06,1.24E-09,0.027690999
4.44E-06,1.77E-09,0.039864435
4.42E-06,2.84E-09,0.064277779
4.40E-06,2.76E-09,0.062840928
4.38E-06,2.35E-09,0.05357688
4.36E-06,2.48E-09,0.056938529
4.34E-06,2.53E-09,0.058294978
4.33E-06,1.38E-09,0.031830965
4.31E-06,2.36E-09,0.054672893
4.29E-06,2.61E-09,0.06072434
4.27E-06,2.09E-09,0.049022241
4.25E-06,3.68E-09,0.086453452
4.24E-06,2.94E-09,0.069469345
4.22E-06,1.73E-09,0.040988589
4.21E-06,1.93E-09,0.04583639
4.14E-06,3.09E-09,0.074736638
4.08E-06,2.63E-09,0.064270771
4.03E-06,4.45E-09,0.110296714
4.00E-06,5.87E-09,0.146876338
3.90E-06,8.16E-09,0.208995118
3.82E-06,1.84E-09,0.048168384
3.80E-06,1.23E-09,0.032278656
3.79E-06,1.54E-09,0.040700565
3.77E-06,1.26E-09,0.033317874
3.74E-06,2.20E-09,0.058763488
3.72E-06,1.80E-09,0.048383724
3.69E-06,1.51E-09,0.040958024
3.67E-06,2.36E-09,0.06429851
3.64E-06,1.31E-09,0.035967671
3.61E-06,1.62E-09,0.044902393
3.60E-06,1.94E-09,0.053819956
3.58E-06,1.23E-09,0.034455046
3.56E-06,1.24E-09,0.034771951
3.54E-06,1.13E-09,0.031893086
3.54E-06,1.13E-09,0.031893086
3.52E-06,2.00E-09,0.056924243
3.49E-06,1.72E-09,0.0491445
3.49E-06,2.54E-09,0.072858449
3.46E-06,1.87E-09,0.053987285
3.44E-06,1.76E-09,0.051224221
3.43E-06,1.77E-09,0.051488171
3.42E-06,7.78E-10,0.022779556
3.32E-06,5.42E-09,0.16314355
3.30E-06,4.55E-09,0.137786814
3.28E-06,3.68E-09,0.11215268
3.26E-06,3.37E-09,0.103396961
3.23E-06,5.44E-09,0.168340845
3.21E-06,3.21E-09,0.100072514
3.18E-06,5.15E-09,0.161935242
3.16E-06,4.96E-09,0.157024958
3.13E-06,4.02E-09,0.128328595
3.11E-06,6.08E-09,0.195876557
3.08E-06,5.94E-09,0.19297884
3.05E-06,4.64E-09,0.151949281
3.03E-06,6.03E-09,0.199175355
3.00E-06,6.06E-09,0.201655242
2.98E-06,4.49E-09,0.150416023
2.96E-06,4.58E-09,0.154488142
2.92E-06,5.02E-09,0.171946288
2.89E-06,6.78E-09,0.234480766
2.87E-06,5.99E-09,0.208940768
2.84E-06,6.35E-09,0.223619338
2.81E-06,2.92E-09,0.103579398
2.79E-06,5.67E-09,0.203095554
2.76E-06,3.96E-09,0.143198541
2.74E-06,3.36E-09,0.122681346
2.72E-06,3.18E-09,0.117037011
