average,STDEV.P,proportion
2.70E-06,6.35E-09,0.235385974
2.68E-06,2.96E-09,0.110499909
2.65E-06,5.12E-09,0.193051414
2.63E-06,3.24E-09,0.123199889
2.60E-06,2.55E-09,0.097940656
2.58E-06,4.05E-09,0.156758238
2.56E-06,6.65E-09,0.259930176
2.52E-06,6.17E-09,0.244720351
2.50E-06,4.01E-09,0.160404787
2.48E-06,4.11E-09,0.165816152
2.46E-06,4.64E-09,0.188815813
2.44E-06,4.69E-09,0.192217425
2.41E-06,4.43E-09,0.183482332
2.40E-06,4.51E-09,0.188188608
2.37E-06,5.15E-09,0.216713742
2.36E-06,3.42E-09,0.145032652
2.34E-06,3.26E-09,0.139261143
2.32E-06,4.69E-09,0.202603001
2.30E-06,4.89E-09,0.212661981
2.29E-06,3.35E-09,0.146794008
2.27E-06,4.32E-09,0.190488388
2.25E-06,6.08E-09,0.26976312
2.24E-06,3.44E-09,0.153970495
2.20E-06,4.33E-09,0.196483083
2.18E-06,2.78E-09,0.12713651
2.17E-06,2.87E-09,0.132213936
2.15E-06,4.33E-09,0.201451837
2.13E-06,3.98E-09,0.186577576
2.11E-06,5.63E-09,0.266332733
2.10E-06,2.84E-09,0.135352472
2.08E-06,3.57E-09,0.171233186
2.07E-06,5.32E-09,0.256594158
2.06E-06,3.92E-09,0.19062878
2.04E-06,4.89E-09,0.240231136
2.03E-06,2.91E-09,0.143576531
2.01E-06,4.79E-09,0.238182904
2.00E-06,3.79E-09,0.189767956
1.98E-06,3.63E-09,0.183075497
1.97E-06,3.51E-09,0.178004164
1.95E-06,2.93E-09,0.150107421
1.93E-06,3.83E-09,0.198490385
1.91E-06,3.75E-09,0.196009307
1.90E-06,2.45E-09,0.128826176
1.89E-06,4.10E-09,0.217459007
1.87E-06,3.06E-09,0.163465577
1.86E-06,2.63E-09,0.141688228
1.84E-06,3.15E-09,0.170973313
1.83E-06,4.02E-09,0.219942088
1.81E-06,2.61E-09,0.144193979
1.80E-06,3.52E-09,0.195235353
1.79E-06,4.40E-09,0.2455697
1.78E-06,1.99E-09,0.111594385
1.76E-06,2.11E-09,0.119616982
1.75E-06,3.04E-09,0.17338756
1.74E-06,3.98E-09,0.228788669
1.72E-06,5.39E-09,0.313123912
1.71E-06,2.44E-09,0.143047439
1.69E-06,2.85E-09,0.168247551
1.68E-06,2.37E-09,0.141095188
1.67E-06,3.23E-09,0.193916416
1.66E-06,4.78E-09,0.28882732
1.65E-06,2.57E-09,0.156234322
1.63E-06,3.76E-09,0.230204128
1.62E-06,2.70E-09,0.166495539
1.61E-06,3.28E-09,0.203713695
1.60E-06,1.92E-09,0.119641608
1.59E-06,2.80E-09,0.175489501
1.58E-06,2.05E-09,0.129489417
1.57E-06,2.89E-09,0.183969505
1.56E-06,3.50E-09,0.223899516
1.55E-06,1.98E-09,0.127106315
1.54E-06,3.98E-09,0.258790788
1.53E-06,2.85E-09,0.186771623
1.51E-06,3.60E-09,0.238413914
1.50E-06,2.54E-09,0.169115071
1.49E-06,3.93E-09,0.263221552
1.48E-06,2.15E-09,0.145499006
1.47E-06,4.52E-09,0.30722604
1.46E-06,2.23E-09,0.152872826
1.45E-06,3.31E-09,0.2278104
1.44E-06,3.55E-09,0.246424103
1.43E-06,3.18E-09,0.222514265
1.42E-06,1.83E-09,0.12910687
1.41E-06,1.68E-09,0.119333396
1.41E-06,1.78E-09,0.126300466
1.40E-06,3.78E-09,0.270323583
1.39E-06,3.85E-09,0.276802049
1.37E-06,3.29E-09,0.239887707
1.37E-06,3.76E-09,0.274957459
1.36E-06,3.73E-09,0.275347512
1.34E-06,3.72E-09,0.276828593
1.34E-06,3.79E-09,0.283695641
1.33E-06,3.54E-09,0.266908095
1.32E-06,2.39E-09,0.181010808
1.31E-06,3.07E-09,0.234081376
1.30E-06,2.37E-09,0.182562392
1.29E-06,3.00E-09,0.232871302
1.28E-06,4.15E-09,0.323035239
1.27E-06,2.86E-09,0.224269274
1.27E-06,2.59E-09,0.204654389
1.26E-06,3.00E-09,0.238105977
1.25E-06,2.77E-09,0.222734068
1.24E-06,2.15E-09,0.173683197
1.23E-06,1.45E-09,0.118457051
1.22E-06,2.48E-09,0.203791941
1.21E-06,3.49E-09,0.288980703
1.20E-06,1.82E-09,0.151698268
1.19E-06,1.44E-09,0.121382741
1.18E-06,2.31E-09,0.195790914
1.17E-06,2.19E-09,0.186598137
1.16E-06,1.74E-09,0.150545804
1.15E-06,3.20E-09,0.27819674
1.14E-06,2.51E-09,0.219867814
1.13E-06,3.01E-09,0.265500227
1.12E-06,2.66E-09,0.236800198
1.11E-06,2.27E-09,0.203563705
1.10E-06,2.22E-09,0.201022011
1.10E-06,2.76E-09,0.251241333
1.09E-06,1.77E-09,0.162354308
1.08E-06,1.80E-09,0.166092881
1.07E-06,2.14E-09,0.198914548
1.06E-06,2.23E-09,0.210045421
1.05E-06,1.29E-09,0.122025249
1.04E-06,2.22E-09,0.213098083
1.04E-06,2.33E-09,0.224312676
1.03E-06,2.54E-09,0.247179616
1.02E-06,2.89E-09,0.283219353
1.01E-06,1.64E-09,0.16195041
1.01E-06,2.42E-09,0.239610255
9.69E-07,1.08418E-09,1.12E-01
9.69E-07,1.08418E-09,1.12E-01
9.51E-07,1.34107E-09,1.41E-01
9.35E-07,1.79063E-09,1.91E-01
9.26E-07,1.02087E-09,1.10E-01
9.16E-07,7.97958E-10,8.71E-02
9.09E-07,1.1042E-09,1.22E-01
9.00E-07,1.1111E-09,1.23E-01
8.94E-07,9.90714E-10,1.11E-01
8.87E-07,1.05725E-09,1.19E-01
8.79E-07,1.7051E-09,1.94E-01
8.67E-07,1.18941E-09,1.37E-01
8.51E-07,1.61718E-09,1.90E-01
8.41E-07,8.27291E-10,9.84E-02
8.33E-07,1.17658E-09,1.41E-01
8.26E-07,9.00421E-10,1.09E-01
8.18E-07,7.68002E-10,9.39E-02
8.13E-07,1.03808E-09,1.28E-01
8.07E-07,8.87209E-10,1.10E-01
8.01E-07,7.88035E-10,9.83E-02
7.96E-07,1.14716E-09,1.44E-01
7.90E-07,8.94696E-10,1.13E-01
7.83E-07,5.63474E-10,7.19E-02
7.79E-07,5.192E-10,6.67E-02
7.72E-07,9.08237E-10,1.18E-01
7.66E-07,8.08063E-10,1.06E-01
7.56E-07,1.28614E-09,1.70E-01
7.51E-07,8.50845E-10,1.13E-01
7.43E-07,7.71563E-10,1.04E-01
7.37E-07,8.46552E-10,1.15E-01
7.32E-07,8.4496E-10,1.16E-01
7.28E-07,5.83938E-10,8.02E-02
7.22E-07,9.70751E-10,1.35E-01
7.18E-07,7.17621E-10,1.00E-01
7.14E-07,7.03794E-10,9.86E-02
7.10E-07,9.86116E-10,1.39E-01
7.02E-07,8.20119E-10,1.17E-01
6.97E-07,1.01439E-09,1.46E-01
6.94E-07,7.96518E-10,1.15E-01
6.88E-07,1.06021E-09,1.54E-01
6.83E-07,6.71346E-10,9.84E-02
6.71E-07,7.45519E-10,1.11E-01
6.66E-07,6.2178E-10,9.34E-02
6.62E-07,6.40165E-10,9.67E-02
6.57E-07,7.43501E-10,1.13E-01
6.53E-07,1.00769E-09,1.54E-01
6.49E-07,4.25608E-10,6.56E-02
6.45E-07,1.21973E-09,1.89E-01
6.41E-07,5.66219E-10,8.83E-02
6.39E-07,5.10981E-10,8.00E-02
6.34E-07,5.41045E-10,8.54E-02
6.31E-07,6.23108E-10,9.88E-02
6.27E-07,5.48459E-10,8.74E-02
6.22E-07,9.08809E-10,1.46E-01
6.19E-07,1.06268E-09,1.72E-01
6.17E-07,5.86529E-10,9.51E-02
6.12E-07,9.66859E-10,1.58E-01
6.09E-07,6.3927E-10,1.05E-01
6.04E-07,5.08138E-10,8.42E-02
6.01E-07,5.52E-10,9.19E-02
5.98E-07,8.21037E-10,1.37E-01
5.95E-07,7.69551E-10,1.29E-01
5.92E-07,7.82612E-10,1.32E-01
5.88E-07,5.0671E-10,8.62E-02
5.85E-07,6.85529E-10,1.17E-01
5.83E-07,4.80735E-10,8.25E-02
5.80E-07,6.03903E-10,1.04E-01
5.74E-07,4.37096E-10,7.61E-02
5.69E-07,8.80331E-10,1.55E-01
5.65E-07,7.00611E-10,1.24E-01
5.62E-07,6.72161E-10,1.20E-01
5.58E-07,4.83845E-10,8.67E-02
5.55E-07,6.60368E-10,1.19E-01
5.66E-07,6.39102E-10,1.13E-01
5.56E-07,9.30879E-10,1.67E-01
5.50E-07,9.20629E-10,1.67E-01
5.46E-07,8.57556E-10,1.57E-01
5.42E-07,5.63351E-10,1.04E-01
5.38E-07,8.13254E-10,1.51E-01
5.32E-07,7.03341E-10,1.32E-01
5.29E-07,5.69786E-10,1.08E-01
5.27E-07,5.80043E-10,1.10E-01
5.22E-07,7.39945E-10,1.42E-01
5.19E-07,5.89435E-10,1.14E-01
5.15E-07,6.51383E-10,1.26E-01
5.11E-07,6.26856E-10,1.23E-01
5.09E-07,1.10987E-09,2.18E-01
5.06E-07,7.15465E-10,1.42E-01
5.03E-07,4.22535E-10,8.40E-02
5.01E-07,8.55938E-10,1.71E-01
4.96E-07,6.95508E-10,1.40E-01
4.94E-07,9.26004E-10,1.87E-01
4.90E-07,4.9807E-10,1.02E-01
4.88E-07,6.21084E-10,1.27E-01
4.85E-07,3.92474E-10,8.09E-02
4.83E-07,6.23097E-10,1.29E-01
4.80E-07,8.31128E-10,1.73E-01
4.75E-07,9.01332E-10,1.90E-01
4.74E-07,4.87226E-10,1.03E-01
4.70E-07,7.27324E-10,1.55E-01
4.69E-07,7.34191E-10,1.57E-01
4.66E-07,6.50179E-10,1.39E-01
4.64E-07,6.04414E-10,1.30E-01
4.60E-07,4.78028E-10,1.04E-01
4.57E-07,7.44241E-10,1.63E-01
4.54E-07,3.99615E-10,8.80E-02
4.52E-07,5.31695E-10,1.18E-01
4.50E-07,5.51986E-10,1.23E-01
4.47E-07,6.75663E-10,1.51E-01
4.44E-07,7.63016E-10,1.72E-01
4.43E-07,4.41993E-10,9.99E-02
4.41E-07,5.77484E-10,1.31E-01
4.38E-07,6.59144E-10,1.50E-01
4.37E-07,4.54693E-10,1.04E-01
4.35E-07,4.0692E-10,9.36E-02
4.30E-07,6.04856E-10,1.41E-01
4.28E-07,3.92581E-10,9.17E-02
4.26E-07,5.74143E-10,1.35E-01
4.23E-07,4.98212E-10,1.18E-01
4.21E-07,5.76514E-10,1.37E-01
4.19E-07,5.01725E-10,1.20E-01
4.17E-07,2.79878E-10,6.71E-02
4.15E-07,3.64884E-10,8.80E-02
4.13E-07,3.45614E-10,8.37E-02
4.11E-07,2.47222E-10,6.01E-02
4.08E-07,6.73694E-10,1.65E-01
4.05E-07,3.89377E-10,9.61E-02
4.03E-07,4.1923E-10,1.04E-01
4.00E-07,8.61812E-10,2.15E-01
3.97E-07,3.20771E-10,8.08E-02
3.96E-07,5.13004E-10,1.30E-01
3.95E-07,4.0144E-10,1.02E-01
3.93E-07,2.87947E-10,7.33E-02
3.93E-07,3.45972E-10,8.81E-02
3.91E-07,4.12788E-10,1.06E-01
3.89E-07,4.97707E-10,1.28E-01
3.87E-07,3.88546E-10,1.00E-01
3.83E-07,7.32432E-10,1.91E-01
3.81E-07,5.9174E-10,1.55E-01
3.79E-07,4.90361E-10,1.29E-01
3.77E-07,3.95872E-10,1.05E-01
3.74E-07,3.70297E-10,9.90E-02
3.72E-07,3.76144E-10,1.01E-01
3.69E-07,3.80818E-10,1.03E-01
3.67E-07,4.36727E-10,1.19E-01
3.64E-07,5.93748E-10,1.63E-01
3.63E-07,5.42894E-10,1.50E-01
3.61E-07,3.48652E-10,9.66E-02
3.57E-07,3.68458E-10,1.03E-01
3.55E-07,4.33249E-10,1.22E-01
3.53E-07,4.92004E-10,1.39E-01
3.50E-07,3.98799E-10,1.14E-01
3.48E-07,5.72856E-10,1.65E-01
3.44E-07,2.85444E-10,8.29E-02
3.42E-07,5.03294E-10,1.47E-01
3.41E-07,2.95404E-10,8.66E-02
3.39E-07,3.86282E-10,1.14E-01
3.38E-07,5.89158E-10,1.75E-01
3.35E-07,4.16147E-10,1.24E-01
3.33E-07,4.57323E-10,1.37E-01
3.30E-07,3.94074E-10,1.19E-01
3.29E-07,4.03496E-10,1.23E-01
3.27E-07,5.58289E-10,1.71E-01
3.23E-07,2.99267E-10,9.25E-02
3.22E-07,2.60648E-10,8.09E-02
3.21E-07,5.44956E-10,1.70E-01
3.20E-07,4.27561E-10,1.34E-01
3.19E-07,3.79583E-10,1.19E-01
3.16E-07,2.96176E-10,9.36E-02
3.15E-07,5.10387E-10,1.62E-01
3.12E-07,5.27488E-10,1.69E-01
3.10E-07,3.70748E-10,1.19E-01
3.08E-07,4.76563E-10,1.55E-01
3.06E-07,4.22525E-10,1.38E-01
3.04E-07,4.81972E-10,1.58E-01
3.01E-07,3.06092E-10,1.02E-01
3.00E-07,4.84891E-10,1.62E-01
3.01E-07,4.13951E-10,1.37E-01
3.00E-07,6.14416E-10,2.05E-01
2.99E-07,4.58664E-10,1.54E-01
2.96E-07,3.61147E-10,1.22E-01
2.94E-07,4.29675E-10,1.46E-01
2.92E-07,5.05024E-10,1.73E-01
2.90E-07,4.87269E-10,1.68E-01
2.88E-07,4.01647E-10,1.39E-01
2.87E-07,2.55877E-10,8.92E-02
2.86E-07,3.05982E-10,1.07E-01
2.85E-07,3.23921E-10,1.14E-01
2.83E-07,4.53606E-10,1.61E-01
2.80E-07,3.79235E-10,1.35E-01
2.79E-07,3.88744E-10,1.39E-01
2.77E-07,4.46249E-10,1.61E-01
2.75E-07,5.58768E-10,2.03E-01
2.72E-07,2.90456E-10,1.07E-01
2.70E-07,3.89072E-10,1.44E-01
2.70E-07,3.42893E-10,1.27E-01
2.68E-07,3.80927E-10,1.42E-01
2.66E-07,3.99972E-10,1.51E-01
2.64E-07,3.77374E-10,1.43E-01
2.61E-07,3.69919E-10,1.42E-01
2.60E-07,1.92566E-10,7.41E-02
2.58E-07,2.45051E-10,9.50E-02
2.56E-07,4.81663E-10,1.88E-01
2.55E-07,4.12041E-10,1.62E-01
2.53E-07,3.42286E-10,1.35E-01
2.54E-07,4.22843E-10,1.66E-01
2.53E-07,4.2215E-10,1.67E-01
2.52E-07,2.82506E-10,1.12E-01
2.51E-07,3.21776E-10,1.28E-01
2.49E-07,2.93073E-10,1.18E-01
2.47E-07,4.13462E-10,1.67E-01
2.45E-07,2.8853E-10,1.18E-01
2.42E-07,4.28126E-10,1.77E-01
2.40E-07,3.77519E-10,1.57E-01
2.39E-07,2.35563E-10,9.85E-02
2.37E-07,3.48294E-10,1.47E-01
2.34E-07,2.46707E-10,1.05E-01
2.32E-07,3.24651E-10,1.40E-01
2.31E-07,3.47466E-10,1.50E-01
2.30E-07,4.43026E-10,1.93E-01
2.28E-07,2.17343E-10,9.53E-02
2.26E-07,2.24153E-10,9.91E-02
2.24E-07,2.38857E-10,1.06E-01
2.23E-07,3.5083E-10,1.57E-01
2.23E-07,1.75364E-10,7.87E-02
2.21E-07,2.88761E-10,1.31E-01
2.20E-07,2.06265E-10,9.40E-02
2.19E-07,3.15798E-10,1.44E-01
2.17E-07,1.80608E-10,8.30E-02
2.10E-07,5.69219E-10,2.71E-01
2.06E-07,2.9045E-10,1.41E-01
1.99E-07,5.38665E-10,2.70E-01
1.95E-07,6.75669E-10,3.46E-01
1.92E-07,6.02372E-10,3.13E-01
1.88E-07,3.66007E-10,1.95E-01
1.84E-07,4.81386E-10,2.62E-01
1.81E-07,4.54691E-10,2.51E-01
1.78E-07,3.50827E-10,1.97E-01
1.75E-07,2.60398E-10,1.48E-01
1.71E-07,3.67246E-10,2.15E-01
1.68E-07,3.10189E-10,1.84E-01
1.65E-07,3.97569E-10,2.40E-01
1.64E-07,4.57495E-10,2.80E-01
1.62E-07,2.22752E-10,1.38E-01
1.59E-07,3.09342E-10,1.94E-01
1.57E-07,3.10384E-10,1.97E-01
1.56E-07,5.54451E-10,3.56E-01
1.54E-07,3.077E-10,2.00E-01
1.51E-07,3.27624E-10,2.17E-01
1.48E-07,3.5174E-10,2.37E-01
1.46E-07,2.76634E-10,1.90E-01
1.45E-07,2.9574E-10,2.04E-01
1.42E-07,2.87025E-10,2.01E-01
1.41E-07,3.04898E-10,2.16E-01
1.39E-07,2.68516E-10,1.94E-01
1.37E-07,1.5575E-10,1.14E-01
1.36E-07,1.92263E-10,1.42E-01
1.34E-07,1.82023E-10,1.36E-01
1.32E-07,2.02989E-10,1.54E-01
1.29E-07,2.20145E-10,1.71E-01
1.27E-07,3.50747E-10,2.76E-01
1.25E-07,3.62881E-10,2.90E-01
1.24E-07,3.57042E-10,2.87E-01
1.21E-07,2.65659E-10,2.19E-01
1.20E-07,2.73307E-10,2.27E-01
1.19E-07,2.2302E-10,1.88E-01
1.18E-07,1.6204E-10,1.38E-01
1.16E-07,2.54923E-10,2.19E-01
1.15E-07,1.29931E-10,1.13E-01
1.14E-07,2.90409E-10,2.55E-01
1.11E-07,2.7525E-10,2.47E-01
1.09E-07,2.88988E-10,2.64E-01
1.08E-07,2.28778E-10,2.12E-01
1.08E-07,2.5946E-10,2.41E-01
1.06E-07,2.59502E-10,2.44E-01
1.05E-07,3.15326E-10,3.00E-01
1.04E-07,1.95589E-10,1.88E-01
1.03E-07,2.36361E-10,2.29E-01
1.02E-07,1.95566E-10,1.92E-01
1.00E-07,2.85517E-10,2.85E-01
