rmp1,rmp2,rmp3,rmp4,rmp5,rmp6,rmp7,rmp8,rmp9,rmp10,,,,
3.03E-07,3.19E-07,3.41E-07,3.58E-07,3.55E-07,3.71E-07,3.93E-07,3.88E-07,3.93E-07,4.10E-07,,,,
3.26E-07,3.41E-07,3.64E-07,3.82E-07,3.77E-07,3.95E-07,4.17E-07,4.12E-07,4.16E-07,4.38E-07,,,,
3.46E-07,3.67E-07,3.88E-07,4.08E-07,4.02E-07,4.22E-07,4.43E-07,4.38E-07,4.44E-07,4.66E-07,,,,
3.71E-07,3.90E-07,4.17E-07,4.35E-07,4.28E-07,4.46E-07,4.71E-07,4.65E-07,4.71E-07,4.94E-07,,,,
3.94E-07,4.15E-07,4.43E-07,4.58E-07,4.56E-07,4.73E-07,4.99E-07,4.93E-07,5.01E-07,5.24E-07,,,,
4.18E-07,4.45E-07,4.72E-07,4.86E-07,4.86E-07,5.03E-07,5.29E-07,5.26E-07,5.33E-07,5.58E-07,,,,
4.49E-07,4.72E-07,4.97E-07,5.15E-07,5.14E-07,5.32E-07,5.60E-07,5.55E-07,5.65E-07,5.93E-07,,,,
4.76E-07,5.02E-07,5.29E-07,5.48E-07,5.46E-07,5.69E-07,5.96E-07,5.93E-07,6.01E-07,6.29E-07,,,,
5.05E-07,5.31E-07,5.65E-07,5.84E-07,5.82E-07,6.03E-07,6.33E-07,6.28E-07,6.42E-07,6.66E-07,,,,
5.33E-07,5.69E-07,6.01E-07,6.19E-07,6.20E-07,6.39E-07,6.70E-07,6.69E-07,6.78E-07,7.05E-07,,,,
5.66E-07,6.05E-07,6.38E-07,6.58E-07,6.58E-07,6.77E-07,7.10E-07,7.08E-07,7.18E-07,7.44E-07,,,,
6.04E-07,6.42E-07,6.76E-07,6.95E-07,6.98E-07,7.17E-07,7.48E-07,7.49E-07,7.58E-07,7.84E-07,,,,
6.44E-07,6.83E-07,7.15E-07,7.34E-07,7.39E-07,7.57E-07,7.90E-07,7.88E-07,7.99E-07,8.30E-07,,,,
6.85E-07,7.22E-07,7.54E-07,7.74E-07,7.80E-07,7.97E-07,8.34E-07,8.34E-07,8.46E-07,8.71E-07,,,,
7.24E-07,7.63E-07,7.92E-07,8.15E-07,8.27E-07,8.36E-07,8.77E-07,8.75E-07,8.90E-07,9.16E-07,,,,
7.68E-07,8.09E-07,8.37E-07,8.55E-07,8.73E-07,8.79E-07,9.25E-07,9.25E-07,9.38E-07,9.62E-07,,,,
8.08E-07,8.52E-07,8.80E-07,8.98E-07,9.18E-07,9.24E-07,9.70E-07,9.70E-07,9.85E-07,1.01E-06,,,,
8.48E-07,9.00E-07,9.24E-07,9.45E-07,9.64E-07,9.69E-07,1.02E-06,1.01E-06,1.04E-06,1.05E-06,,,,
8.94E-07,9.45E-07,9.72E-07,9.92E-07,1.01E-06,1.02E-06,1.06E-06,1.06E-06,1.09E-06,1.10E-06,,,,
9.40E-07,9.93E-07,1.02E-06,1.04E-06,1.06E-06,1.06E-06,1.11E-06,1.11E-06,1.14E-06,1.15E-06,,,,
9.89E-07,1.04E-06,1.06E-06,1.08E-06,1.11E-06,1.11E-06,1.16E-06,1.16E-06,1.18E-06,1.20E-06,,,,
1.04E-06,1.09E-06,1.11E-06,1.13E-06,1.16E-06,1.16E-06,1.21E-06,1.21E-06,1.24E-06,1.26E-06,,,,
1.08E-06,1.13E-06,1.16E-06,1.18E-06,1.21E-06,1.22E-06,1.27E-06,1.27E-06,1.29E-06,1.31E-06,,,,
1.14E-06,1.18E-06,1.21E-06,1.23E-06,1.26E-06,1.27E-06,1.32E-06,1.32E-06,1.34E-06,1.37E-06,,,,
1.19E-06,1.24E-06,1.27E-06,1.29E-06,1.32E-06,1.33E-06,1.38E-06,1.38E-06,1.40E-06,1.43E-06,,,,
1.24E-06,1.29E-06,1.32E-06,1.35E-06,1.38E-06,1.39E-06,1.44E-06,1.44E-06,1.46E-06,1.49E-06,,,,
1.30E-06,1.35E-06,1.38E-06,1.40E-06,1.44E-06,1.45E-06,1.50E-06,1.50E-06,1.52E-06,1.55E-06,,,,
1.36E-06,1.40E-06,1.43E-06,1.46E-06,1.49E-06,1.51E-06,1.57E-06,1.56E-06,1.58E-06,1.61E-06,,,,
1.42E-06,1.47E-06,1.49E-06,1.52E-06,1.56E-06,1.57E-06,1.63E-06,1.62E-06,1.64E-06,1.68E-06,,,,
1.48E-06,1.52E-06,1.56E-06,1.58E-06,1.62E-06,1.64E-06,1.69E-06,1.68E-06,1.71E-06,1.75E-06,,,,
1.55E-06,1.59E-06,1.62E-06,1.65E-06,1.69E-06,1.70E-06,1.76E-06,1.75E-06,1.78E-06,1.81E-06,,,,
1.61E-06,1.66E-06,1.69E-06,1.72E-06,1.75E-06,1.77E-06,1.83E-06,1.82E-06,1.85E-06,1.88E-06,,,,
1.68E-06,1.73E-06,1.76E-06,1.79E-06,1.82E-06,1.84E-06,1.90E-06,1.89E-06,1.92E-06,1.95E-06,,,,
1.75E-06,1.80E-06,1.83E-06,1.86E-06,1.89E-06,1.91E-06,1.97E-06,1.97E-06,1.99E-06,2.02E-06,,,,
